Institution,Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid () including VAT if charged,APC paid () excluding VAT,VAT (),Additional publication costs (),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in ,Amount of APC charged to RCUK OA fund (include VAT if charged) in ,Licence,Correct license applied,Problem-free open access publication,Notes
Cardiff University,05/01/2015,,,,,10.1111/cch.12228,,Wiley,"Child: Care, Health and Development",,Journal Article/Review (Hybrid journal),Religious adaptation of a parenting programme: Process evaluation of the Family Links Islamic Values course for Muslim fathers,04/02/2015,RCUK, , ,ESRC, ,,RES-070-27-0040,,,06/01/2015,,,,,1500,,,,Prepayment,,,CC BY,Yes,Yes,
Cardiff University,05/01/2015,,,,,10.1098/rsif.2014.0717,,Royal Society,Interface,1742-5689,Journal Article/Review (Hybrid journal),Transverse depth-dependent changes in corneal collagen lamellar orientation and distribution,28/01/2015,RCUK, , ,MRC,,,G0600755,,,06/02/2015,,,,,1296,,,,25% discount ,,,CC BY,Yes,Yes,
Cardiff University,05/01/2015,,,,,10.1371/journal.ppat.1004641,,Public Library of Science,PLOS Pathogens,1553-7366,Journal Article/Review (Full OA journal),CD200 receptor restriction of myeloid cell responses antagonizes antiviral immunity and facilitates cytomegalovirus persistence within mucosal tissue,05/02/2015,COAF, , ,Wellcome Trust,,,WT098026MA,,,30/01/2015,,,,,1504.51,,,,,,,CC BY,Yes,No,
Cardiff University,05/01/2015,,,,,10.1038/tp.2015.5,,Nature Publishing Group,Translational Psychiatry,,Journal Article/Review (Full OA journal),The relative contribution of common and rare genetic variants to ADHD,10/02/2015,COAF, ,,Wellcome Trust,,,079711/Z/06/Z,,,30/01/2015,,,,,2880,,,,,,,CC BY,Yes,Yes,
Cardiff University,06/01/2015,,,,,10.1016/j.bcp.2014.12.014,,Elsevier,Biochemical Pharmacology,,Journal Article/Review (Hybrid journal),Disulfiram-Induced Cytotoxicity and Endo-lysosomal Sequestration of Zinc in Breast Cancer Cells,31/12/2014,COAF, , ,Cancer Research UK,,,C36040,A11652,,23/02/2015,,,,,2184.19,,,,,,,CC BY,Yes,Yes,
Cardiff University,06/01/2015,,,,,10.4049/Jimmunol.1401785,,American Association of Immunologists,Journal of Immunology,0022-1767,Journal Article/Review (Hybrid journal),Antibody Stabilization of PeptideMHC Multimers Reveals Functional T Cells Bearing Extremely Low-Affinity TCRs,01/12/2014,COAF, , ,Wellcome Trust, ,,WT100327MA,,,30/01/2015,,,,,1650,,,,,,,CC BY,Yes,No,
Cardiff University,06/01/2015,,,,,10.1093/jnci/djv001,,Oxford University Press,Journal of the National Cancer Institute,,Journal Article/Review (Hybrid journal),Assessing the Prognostic Value of Pre-operative Carcinoembryonic Antigen Specific T-cell Responses in Colorectal Cancer,10/02/2015,COAF, , ,Wellcome Trust,,,WT086983,,,30/01/2015,,,,,2550,,,CC BY costs more,,,,CC BY,Yes,Yes,
Cardiff University,07/01/2015,,,,,10.1038/jcbfm.2014.219,,Nature Publishing Group,Journal of Cerebral Blood Flow and Metabolism,1559-7016,Journal Article/Review (Hybrid journal),Non-invasive assessment of arterial compliance of human cerebral arteries with short inversion time arterial spin labelling,17/12/2015,COAF, , ,Wellcome Trust,,,WT090199,,,23/02/2015,,,,,2280,,,,,,,CC BY,Yes,Yes,
Cardiff University,08/01/2015,,,,,10.1038/cmi.2014.134,,Nature Publishing Group,Cellular and Molecular Immunology,,Journal Article/Review (Hybrid journal),a b T-cell receptors as predictors of health and disease,26/01/2015,COAF,,,Wellcome Trust,,,WT100327MA,,,23/02/2015,,,,,1103.31,,,,,,,CC BY-NC-SA,No,No,
Cardiff University,08/01/2015,,,,,10.1002/hbm.22735,,Wiley,Human Brain Mapping,,Journal Article/Review (Hybrid journal),Measuring vascular reactivity with breath-holds after stroke: a method to aid interpretation of group-level BOLD signal changes in longitudinal fMRI studies,27/02/2015,COAF, , ,Wellcome Trust,,,WT090199,,,06/02/2015,,,,,2635.22,,,,,,,CC BY,Yes,No,
Cardiff University,08/01/2015,,,,,10.1016/j.neuroimage.2014.12.068,,Elsevier,NeuroImage,1053-8119,Journal Article/Review (Hybrid journal),Electrophysiological Evidence for Retrieval Mode Immediately After a Task Switch,03/01/2015,RCUK, , ,BBSRC,,,BB/E009921/1,,,29/01/2015,,,,,1601.74,,,,,,,CC BY,Yes,Yes,
Cardiff University,08/01/2015,,,,,10.1364/OE.23.003308,,Optical Society of America,Optics Express,1094-4087,Journal Article/Review (Full OA journal),Radiative recombination rate measurements by the optically pumped variable stripe length method,04/02/2015,RCUK, , ,EPSRC,,,EP/L005409/1,,,29/01/2015,,,,,1512.54,,,,,,,Unknown,No,No,CC BY not offered by OSA
Cardiff University,09/01/2015,,,,,10.1136/bmjopen-2014-006914 ,,BMJ Publishing Group,BMJ Open,2044-6055,Journal Article/Review (Full OA journal),Prevalence of smoking restrictions and child exposure to secondhand smoke in cars and homes: a repeated cross-sectional survey of 10-11 year old children in Wales,30/01/2015,RCUK,COAF,,ESRC,MRC,Wellcome Trust,MR/K021400/1,,,30/01/2015,,,,,1350,,,,Prepayment,,,CC BY,Yes,Yes,
Cardiff University,09/01/2015,,,,,10.1371/journal.pone.0115545,,Public Library of Science,PLOS ONE,1932-6203,Journal Article/Review (Full OA journal),"Who Tweets? Deriving the Demographic Characteristics of Age, Occupation and Social Class from Twitter User Meta-Data",02/03/2015,RCUK, , ,ESRC,,,ES/J009903/1,,,03/02/2015,,,,,1092.01,,,,,,,CC BY,Yes,Yes,
Cardiff University,12/01/2015,,,,,10.3758/s13420-014-0162-x,,Springer,Learning and Behavior,,Journal Article/Review (Hybrid journal),The fate of redundant cues:  Further analysis of the redundancy effect,24/12/2015,RCUK, ,,BBSRC,,,BB/H006176,,,23/02/2015,,,,,1659.63,,,,,,,CC BY,Yes,No,
Cardiff University,13/01/2015,,,,,10.3389/fnbeh.2015.00011,,Frontiers,Frontiers in Behavioral Neuroscience,1662-5153,Journal Article/Review (Full OA journal),The effect of retrosplenial cortex lesions in rats on incidental and active spatial learning,06/02/2015,RCUK, , ,BBSRC,,,BB/H020187/1,,,26/01/2015,,,,,1492.66,,,,,,,CC BY,Yes,Yes,
Cardiff University,14/01/2015,,,,,10.1136/bmj.h1258,,BMJ Publishing Group,BMJ  ,0959-8138,Journal Article/Review (Full OA journal),Process evaluation of complex interventions: Medical Research Council guidance,19/03/2015,RCUK,,,MRC,,,Baird - PHSRN,,,19/03/2015,,,,,3000,,,,Prepayment,,,Unknown,No,No,
Cardiff University,14/01/2015,,,,,,,White Horse Press,Environmental Values,,,Stability and Change in British Public Discourses about Climate Change between 1997 and 2010, ,RCUK, , ,ESRC,,,RES-066-27-0013,,,,,,,,,,,,,,,,,,"Article not published yet, no idea when "
Cardiff University,14/01/2015,,,,,,,Emerald,Health Education,,Journal Article/Review (Hybrid journal),"Implementation of a Cooking Bus intervention to support cooking in schools in Wales, UK", ,RCUK, , ,MRC,,,MR/KO232331/1,,,,,,,,,,,,,,,,,,"Article not published yet, no idea when "
Cardiff University,14/01/2015,,,,,10.1680/ener.14.00020 ,,Thomas Telford,Proceedings of the ICE - Energy,,,Vulnerability Assessment of the European Natural Gas Supply,26/02/2015,RCUK, ,,EPSRC,,,EP/1031707/1,,,18/03/2015,,,,,1344,,,,20% discount,,,Unknown,No,No,
Cardiff University,16/01/2015,,,,,10.3109/09638288.2015.1005759,,Taylor & Francis,Disability and Rehabilitation,,Journal Article/Review (Hybrid journal),Physiotherapy for people in vegetative and minimally conscious states: Family perceptions and experiences,11/02/2015,RCUK, , ,ESRC,,,ES/K00560X/1,,,27/02/2015,,,,,2145.6,,,,,,,CC BY,Yes,No,
Cardiff University,19/01/2015,,,,,10.1111/bph.13080,,Wiley,British Journal of Pharmacology,0007-1188,Journal Article/Review (Hybrid journal),Lipopolysaccharide exacerbates functional and inflammatory responses to ovalbumin and decreases sensitivity to inhaled fluticasone propionate in a guinea-pig model of asthma,24/03/2015,RCUK, , ,MRC,,,G0900180,,,22/01/2015,,,,,1500,,,,Prepayment,,,CC BY,Yes,Yes,
Cardiff University,19/01/2015,,,,,10.1016/j.neuropsychologia.2015.01.010,,Elsevier,Neuropsychologia,0028-3932,Journal Article/Review (Hybrid journal),"Semantic impairment disrupts perception, memory, and naming of secondary but not primary colors",28/01/2015,RCUK, , ,MRC,,,G1002149,,,04/03/2015,,,,,1270.53,,,,,,,CC BY,Yes,Yes,
Cardiff University,20/01/2015,,,,,10.1016/j.jim.2015.01.004,,Elsevier,Journal of Immunological Methods,,Journal Article/Review (Hybrid journal),A Reproducible Method for the Expansion of Mouse CD8+ T lymphocytes,17/01/2015,RCUK, ,,MRC,,,G0901155,,,12/02/2015,,,,,2164.28,,,,,,,CC BY,Yes,Yes,
Cardiff University,21/01/2015,,,,,10.1080/1523908X.2015.1008437,,Taylor & Francis,Journal of Environmental Policy and Planning,,Journal Article/Review (Hybrid journal),Re-scaling the governance of renewable energy: lessons from the UK devolution experience,17/02/2015,RCUK, , ,ESRC,,,RES-062-23-2526,,,27/02/2015,,,,,1929.62,,,,,,,CC BY,Yes,No,
Cardiff University,21/01/2015,,,,,10.1371/journal.pone.0120101,,Public Library of Science,PLOS ONE,1932-6203,Journal Article/Review (Full OA journal),"The relationship between fearfulness, GABA+, and fear-related BOLD responses in the insula",26/03/2015,COAF, , ,Wellcome Trust,,,WT090199,,,10/04/2015,,,,,900.42,,,,,,,CC BY,Yes,Yes,
Cardiff University,22/01/2015,,,,,10.1111/cei.12570,,Wiley,Clinical & Experimental Immunology,0009-9104,Journal Article/Review (Hybrid journal),T cell receptor binding affinity governs the functional profile of cancer-specific CD8+ T cells,14/04/2015,COAF, , ,Wellcome Trust,,,WT100326,,,27/02/2015,,,,,1976.41,,,,,,,CC BY-NC,No,No,
Cardiff University,22/01/2015,,,,,10.1002/hipo.22421,,Wiley,Hippocampus,,Journal Article/Review (Hybrid journal),Fornical and non-fornical projections from the rat hippocampal formation to the anterior thalamic nuclei, ,COAF, , ,Wellcome Trust,,,WT090954AIA,92480,,27/02/2015,,,,,2305.82,,,,,,,CC BY,Yes,No,
Cardiff University,23/01/2015,,,,,10.3389/fpsyg.2015.00201,,Frontiers,Frontiers in Psychology,1664-1078,Journal Article/Review (Full OA journal),Parsing malicious pleasures: Schadenfreude and gloating at others adversity,26/02/2015,RCUK, , ,ESRC,,,RES-000-23-0915,,,23/02/2015,,,,,869.04,,,,Research topic discount (-Euro 640),,,CC BY,Yes,Yes,
Cardiff University,23/01/2015,,,,,10.1167/15.1.24,,Association for Research in Vision and Ophthalmology,Journal of Vision,,,Saccadic compensation for reflexive optokinetic nystagmus just as good as compensation for volitional pursuit,26/01/2015,RCUK, , ,ESRC,,,ES/K002325/1,,,03/02/2015,,,,,1104.14,,,,,,,Unknown,No,No,
Cardiff University,26/01/2015,,,,,10.1016/j.chemgeo.2015.01.009,,Elsevier,Chemical Geology,0009-2541,Journal Article/Review (Hybrid journal),The Mg/Ca-temperature relationship in brachiopod shells: Calibrating a potential palaeoseasonality proxy,26/01/2015,RCUK, , ,NERC,,,NE/H018018/1,,,04/03/2015,,,,,2117.55,,,,,,,CC BY,Yes,Yes,
Cardiff University,26/01/2015,,,,,10.1007/s11745-015-3993-0,,Springer,Lipids,,Journal Article/Review (Hybrid journal),The phosphoinositide 3-kinase signaling pathway is involved in the control of modified low-density lipoprotein uptake by human macrophages,08/02/2015,COAF, , ,British Heart Foundation,,,PG/10/55/28467,PG/12/50/29691,,27/03/2015,,,,,1620.63,,,,,,,CC BY,Yes,Yes,
Cardiff University,29/01/2015,,,,,10.1007/s00410-015-1117-8,,Springer,Contributions to Mineralogy and Petrology,,Journal Article/Review (Hybrid journal),"The geochemical effects of olivine slurry replenishment and dolostone assimilation in the plumbing system of the Franklin large igneous province, Victoria Island, Arctic Canada",13/02/2015,RCUK,,,NERC,,,NE/152787X/1,,,02/05/2015,,,,,1626.38,,,,,,,CC BY,Yes,No,
Cardiff University,30/01/2015,,,,,10.1523/JNEUROSCI.1152-14.2015 ,,Society for Neuroscience,Journal of Neuroscience,0270-6474,,Improvement in visual search with practice: Mapping learning-related changes in neurocognitive stages of processing,01/05/2015,RCUK, , ,ESRC,,,ES/M00001X/1,,,12/02/2015,,,,,1897.81,,,,,,,Unknown,No,No,
Cardiff University,02/02/2015,,,,,10.1109/JSTQE.2015.2403716,,IEEE,IEEE Journal of Selected Topics in Quantum Electronics,,,Reducing Thermal Carrier Spreading in InP Quantum Dot Lasers,04/03/2015,RCUK, , ,EPSRC,,,EP/L005409/1,,,30/01/2015,,,,,1313,,,,25% discount,,,CC BY,Yes,No,
Cardiff University,02/02/2015,,,,,10.1080/03088839.2015.1040862,,Taylor & Francis,Maritime Policy and Management,,Journal Article/Review (Hybrid journal),Greener Shipping? A consideration of the issues associated with the introduction of Emission Control,30/04/2015,RCUK, , ,ESRC,,,RES-062-23-2644,,,20/05/2015,,,,,1823.76,,,,,,,CC BY,Yes,Yes,
Cardiff University,03/02/2015,,,,,10.3389/fendo.2014.00174,,Frontiers,Frontiers in Endocrinology: Bone Research,,Journal Article/Review (Full OA journal),"Deletion of P58IPK, the cellular inhibitor of the protein kinases PKR and PERK, causes bone changes and joint degeneration in mice",17/10/2014,COAF, , ,Arthritis Research UK,,,MP/18461,,,27/03/2015,,,,,,,,,Ass Ed discount -Euro 890 ,,,CC BY,Yes,No,
Cardiff University,03/02/2015,,,,,10.3389/fendo.2014.00208,,Frontiers,Frontiers in Endocrinology: Bone Research,,Journal Article/Review (Full OA journal),A new method to investigate how mechanical loading of osteocytes controls osteoblasts,09/12/2015,COAF, , ,Arthritis Research UK,,,MP/18461,,,27/03/2015,,,,,148.78,,,,,,,CC BY,Yes,Yes,
Cardiff University,04/02/2015,,,,,10.1093/cjres/rsv002,,Oxford University Press,"Cambridge Journal of Regions, Economy and Society",,Journal Article/Review (Hybrid journal),"Crisis Response, Choice and Resilience: Insights from Complexity Thinking",18/03/2015,RCUK, , ,ESRC,,,ES/I014667/1,,,18/02/2015,,,,,1800,,,,,,,CC BY,Yes,Yes,
Cardiff University,09/02/2015,,,,,10.1038/ismej.2015.38,,Nature Publishing Group,The ISME Journal,,Journal Article/Review (Hybrid journal),Priority effects during fungal community establishment in beech wood,20/03/2015,RCUK, ,,NERC,,,NE/I01117X/1,,,10/04/2015,,,,,3360,,,,,,,CC BY,Yes,Yes,
Cardiff University,10/02/2015,,,,,,,Taylor & Francis,Health Communication,,Journal Article/Review (Hybrid journal),Identifying well connected opinion leaders for informal health promotion: the example of the ASSIST smoking prevention programme, ,RCUK, , ,ESRC,,,RES-590-28-0005,,, ,,,,,   ,,, , ,,,,,,Sept 2015 antcipated publication date
Cardiff University,10/02/2015,,,,,10.1111/1748-8583.12071,,Wiley,Human Resource Management Journal,,Journal Article/Review (Hybrid journal),"FITS, MISFITS AND INTERACTIONS: LEARNING AT WORK, JOB SATISFACTION AND JOB-RELATED WELL-BEING",26/03/2015,RCUK, , ,ESRC,,,RES-241-25-0001,,,24/02/2015,,,,,1500,,,,Prepayment,,,CC BY,Yes,Yes,
Cardiff University,11/02/2015,,,,,10.1523/JNEUROSCI.3603-14.2015,,Society for Neuroscience,Journal of Neuroscience,0270-6474,,A distinct class of slow (~0.2-2 Hz) intrinsically bursting layer 5 pyramidal neurons determines UP/DOWN state dynamics in the neocortex,08/04/2015,COAF, , ,Wellcome Trust,,,91882,,,27/03/2015,,,,,1864.95,,,,,,,Unknown,No,No,
Cardiff University,12/02/2015,,,,,10.1080/17583004.2015.1020011,,Taylor & Francis,Carbon Management,1758-3004,Journal Article/Review (Hybrid journal),Prospects for radical emissions reduction through behaviour and lifestyle change,16/04/2015,RCUK, , ,ESRC,,,RES-066-27-0013,,,20/03/2015,,,,,2145.6,,,,,,,CC BY,Yes,Yes,
Cardiff University,12/02/2015,,,,,10.1016/j.celrep.2015.02.016,,Cell Press,Cell Reports,2211-1247,Journal Article/Review (Full OA journal),Regulation of autocrine signaling in subsets of sympathetic neurons has regional effects on tissue innervation,05/03/2015,COAF, , ,Wellcome Trust,,,103852,,,,,,,,,,,,,,,CC BY-NC-ND,No,No,
Cardiff University,13/02/2015,,,,,10.1523/JNEUROSCI.4945-14.2015,,Society for Neuroscience,Journal of Neuroscience,0270-6474,,A critical role for the anterior thalamus in directing attention to task relevant-stimuli,08/04/2015,COAF,,,Wellcome Trust,,,WT092480,WT103723,,27/03/2015,,,,,1880.88,,,,,,,Unknown,No,No,
Cardiff University,16/02/2015,,,,,10.1136/bmjopen-2014-007072 ,,BMJ Publishing Group,BMJ Open,2044-6055,Journal Article/Review (Full OA journal),Electronic-cigarette use among young people in Wales: evidence from two cross-sectional surveys,15/04/2015,RCUK,RCUK,COAF,ESRC,MRC,Wellcome Trust,MR/K021400/1,,,15/04/2015,,,,,1377,,,,Prepayment,,,CC BY,Yes,Yes,
Cardiff University,16/02/2015,,,,,10.1093/bjc/azv001,,Oxford University Press,British Journal of Criminology,,Journal Article/Review (Hybrid journal),"Let Sleeping Lawyers Lie: Organised Crime, Lawyers and the Regulation of Legal Services",10/03/2015,RCUK,COAF, ,ESRC,Wellcome Trust,,RES-051-27-0208,L216252037,,,,,,,2400,,,,,,,CC BY,Yes,Yes,
Cardiff University,16/02/2015,,,,,10.1016/j.molonc.2015.02.003,,Elsevier,Molecular Oncology,,Journal Article/Review (Hybrid journal),Telomere fusion threshold identifies a poor prognostic subset of breast cancer patients,25/02/2015,COAF, , ,Cancer Research UK,,,C17199,A13490,,27/03/2015,,,,,2307.87,,,,,,,CC BY,Yes,Yes,
Cardiff University,17/02/2015,,,,,10.1080/15715124.2014.963863,,Taylor & Francis,International Journal of River Basin Management,,Journal Article/Review (Hybrid journal),"Cloud to coast: integrated assessment of environmental exposure, health impacts and risk perceptions of faecal organisms in coastal waters.",15/01/2015,RCUK, , ,NERC,,,GR NE/I008306/1,,,01/04/2015,,,,,2145.6,,,,,,,CC BY,Yes,Yes,
Cardiff University,17/02/2015,,,,,10.1016/j.renene.2015.01.053,,Elsevier,Renewable Energy,0960-1481,Journal Article/Review (Hybrid journal),The Effect of Tidal Flow Directionality on Tidal Turbine Performance Characteristics,11/02/2015,RCUK, , ,EPSRC,,,EP/J010200/1,,,13/03/2015,,,,,2254.58,,,,,,,CC BY,Yes,No,
Cardiff University,18/02/2015,,,,,10.1007/s11121-015-0552-0,,Springer,Prevention Science,1573-6695,Journal Article/Review (Hybrid journal),Implementation of a School-based Social and Emotional Learning Intervention: Understanding diffusion processes within a complex system.,01/03/2015,COAF,RCUK,RCUK,Wellcome Trust,ESRC,MRC,WT087640MA,RES-590-28-0005,MR/K023233/1,17/04/2015,,,,,1929.54,,,,,,,CC BY,Yes,Yes,
Cardiff University,20/02/2015,,,,,,,Royal College of Psychiatrists,British Journal of Psychiatry,0007-1250,Journal Article/Review (Hybrid journal),Duration of Depressive Symptoms and Risk of Mortality: The English Longitudinal Study of Ageing, ,RCUK, , ,MRC,,,MR/K023233/1 ,,,25/03/2015,,,,,3000,,,,,,,,,,Dec 2015 or Jan 2016 antcipated publication date
Cardiff University,24/02/2015,,,,,10.1016/j.msec.2015.02.002,,Elsevier,Materials Science and Engineering: C,,Journal Article/Review (Hybrid journal),Silver nanoparticles based antibacterial methacrylate hydrogels potential for bone graft applications,09/02/2015,COAF, , ,Arthritis Research UK,,,MP/18461,,,01/04/2015,,,,,1769.97,,,,,,,CC BY-NC-ND,No,No,
Cardiff University,25/02/2015,,,,,10.1016/j.nicl.2015.02.012,,Elsevier,NeuroImage: Clinical,2213-1582,Journal Article/Review (Full OA journal),ADHD severity is associated with white matter microstructure in the subgenual cingulum,26/02/2015,COAF, , ,Wellcome Trust,,,079711/Z/06/Z,,,27/03/2015,,,,,961.61,,,,,,,CC BY,Yes,Yes,
Cardiff University,27/02/2015,,,,,10.1098/rsif.2015.0066,,Royal Society,Interface,1742-5689,Journal Article/Review (Hybrid journal),"Quantitative analysis of 3D fibrillar collagen microstructure within the normal, aged and glaucomatous human optic nerve head",25/03/2015,RCUK, , ,BBSRC,,,BB/F016352/1,,,17/04/2015,,,,,1440,,,,,,,CC BY,Yes,Yes,
Cardiff University,03/03/2015,,,,,10.3389/fpsyg.2015.00293,,Frontiers,Cognition,,Journal Article/Review (Full OA journal),Limitless capacity: A dynamic object oriented approach to short-term memory,23/03/2015,RCUK, , ,ESRC,,,ES/I028919/1,,,13/03/2015,,,,,831.35,,,,,,,CC BY,Yes,Yes,
Cardiff University,03/03/2015,,,,,10.1016/j.jher.2014.07.002,,Elsevier,Journal of Hydro-environment Research,,Journal Article/Review (Hybrid journal),"Integrated water quality modelling: Application to the Ribble Basin, U.K.",18/09/2014,RCUK, , ,NERC,,,NE/1008306/1,,,17/04/2015,,,,,2338.84,,,,,,,Unknown,No,No,
Cardiff University,04/03/2015,,,,,10.1016/j.patcog.2015.02.021,,Elsevier,Pattern Recognition,,Journal Article/Review (Hybrid journal),Euclidean distance based canonical forms for non-rigid 3D shape retrieval,02/03/2015,RCUK, , ,EPSRC,,,EP/J02211X/1,,,14/04/2015,,,,,2424.62,,,,,,,CC BY,Yes,Yes,
Cardiff University,04/03/2015,,,,,10.1680/ener.14.00027,,Institute of Civil Engineers,Proceedings of the ICE - Energy,,,The North Sea Grid,11/06/2015,RCUK,,,EPSRC,EPSRC,, EP/I031707/1,EP/I013636/1,,,,,,,,,,,,,,CC BY,Yes,No,
Cardiff University,05/03/2015,,,,,10.1038/cmi.2015.28,,Nature Publishing Group,Cellular and Molecular Immunology,,Journal Article/Review (Hybrid journal),The Promise of ?? T cells and the ?? T cell Receptor for Cancer Immunotherapy ,13/04/2015,COAF, , ,Wellcome Trust,,,WT100327MA,,,,,,,,,,,,,,,CC BY,Yes,No,
Cardiff University,06/03/2015,,,,,10.1016/j.apenergy.2015.01.102,,Elsevier,Applied Energy ,0306-2619,Journal Article/Review (Hybrid journal),Combined Analysis of Electricity and Heat Networks,12/03/2015,RCUK,,,EPSRC,EPSRC,,EP/G031681/1, EP/K006274/1,,23/04/2015,,,,,2562.19,,,,,,,CC BY-NC-ND,No,No,
Cardiff University,06/03/2015,,,,,10.4049/?jimmunol.1402956,,American Association of Immunologists,Journal of Immunology,0022-1767,Journal Article/Review (Hybrid journal),Functional Analysis of a Complement Polymorphism (rs17611) Associated with Rheumatoid Arthritis,27/02/2015,COAF, , ,Arthritis Research UK,,,19436,,,20/03/2015,,,,,2478.48,,,,,,,CC BY,Yes,No,
Cardiff University,06/03/2015,,,,,10.1177/0038038515590756 ,,Sage,Sociology,0038-0385,Journal Article/Review (Hybrid journal),"Reputational risk, academic freedom and research ethics review",25/06/2015,RCUK, ,,ESRC,,,RES-145-28-0003,,,,,,,,200,,,,Prepayment,,,Unknown,No,No,
Cardiff University,06/03/2015,,,,,10.1016/j.soilbio.2015.02.031,,Elsevier,Soil Biology and Biochemistry,,Journal Article/Review (Hybrid journal),Multiple introductions and environmental factors affecting the establishment of invasive species on a volcanic island.,11/03/2015,RCUK, , ,NERC,,,NE/I026022/1,,,27/03/2015,,,,,1964.58,,,,,,,CC BY,Yes,Yes,
Cardiff University,09/03/2015,,,,,10.1093/bjc/azv011 ,,Oxford University Press,British Journal of Criminology,,Journal Article/Review (Hybrid journal),Guardians Upon High: An Application of Routine Activities Theory to Online Identity Theft in Europe at the Country and Individual Level ,27/03/2015,RCUK, , ,EPSRC, , ,EP/K03345X/1,,,20/03/2015,,,,,2400,,,,,,,CC BY,Yes,Yes,
Cardiff University,10/03/2015,,,,,10.1016/J.JCLEPRO.2015.02.084,,Elsevier,Journal of Cleaner Production,0959-6526,Journal Article/Review (Hybrid journal),More sustainable automotive production through understanding decoupling points in leagile manufacturing,10/03/2015,RCUK, , ,ESRC,ESRC,,M535-25-5153,res-568-28-5001,,09/04/2015,,,,,2590.01,,,,,,,CC BY,Yes,Yes,
Cardiff University,11/03/2015,,,,,10.1111/cei.12610,,Wiley,Clinical & Experimental Immunology,0009-9104,Journal Article/Review (Hybrid journal),"Clonotypically similar hybrid ab TCRs can exhibit markedly different surface expression, antigen specificity and cross-reactivity",15/05/2015,COAF, , ,Wellcome Trust, ,,WT100326,,,08/04/2015,,,,,1648.8,,,,,,,CC BY,Yes,No,
Cardiff University,12/03/2015,,,,,10.1016/j.renene.2015.03.016,,Elsevier,Renewable Energy,0960-1481,Journal Article/Review (Hybrid journal),"UK Smart Grid development: an expert assessment of the benefits, pitfalls and functions",07/03/2015,RCUK,,,NERC,,,NE/J005975/1,,,27/03/2015,,,,,1964.59,,,,,,,CC BY,Yes,Yes,
Cardiff University,16/03/2015,,,,,10.1037/bne0000059,,American Psychological Association,Behavioral Neuroscience,,,Early life stress produces compulsive-like but not impulsive behavior in females,01/06/2015,RCUK, , ,MRC,,,MR/L010305/1,,,,,,,,,,,,,,,CC BY,Yes,Yes,
Cardiff University,16/03/2015,,,,,10.1111/cei.12622,,Wiley,Clinical & Experimental Immunology,0009-9104,Journal Article/Review (Hybrid journal),The T Cell antigen receptor: The Swiss Arm Knife of the Immune System.,14/05/2015,RCUK,,,BBSRC,,,BB/H001085/1,,,19/03/2015,,,,,1500,,,,Prepayment discount 25%,,,CC BY,Yes,Yes,
Cardiff University,16/03/2015,,,,,10.1038/tp.2015.53,,Nature Publishing Group,Translational Psychiatry,,Journal Article/Review (Full OA journal),"Childhood trauma, midbrain activation and psychotic symptoms in borderline personality disorder",05/05/2015,RCUK, , ,MRC,,,MR/L010305/1,,,08/05/2015,,,,,2880,,,,,,,CC BY,Yes,Yes,
Cardiff University,17/03/2015,,,,,10.1002/2014JB011668,,Wiley,Journal of Geophysical Research: Solid Earth,2169-9356,Journal Article/Review (Hybrid journal),"U-Pb dating of interspersed gabbroic magmatism and hydrothermal metamorphism during lower crustal accretion, Vema lithospheric section, Mid-Atlantic Ridge",19/04/2015,RCUK,,,NERC,,,NE/H020004/1,,,26/03/2015,,,,,1875,,,,Prepayment discount 25%,,,CC BY,Yes,Yes,
Cardiff University,17/03/2015,,,,,10.1177/0730888415580650,,Sage,Work and Occupations,,Journal Article/Review (Hybrid journal),Direct Participation and Employee Learning at Work,21/04/2015,RCUK,,,ESRC,,,RES-241-25-0001,,,,,,,,200,,,,Prepayment,,,CC BY,Yes,Yes,
Cardiff University,18/03/2015,,,,,10.1080/19401493.2014.991755,,Taylor & Francis,Journal of Building Performance Simulation,,Journal Article/Review (Hybrid journal),THERMAL SIMULATION SOFTWARE OUTPUTS: EXPLORING THE CONCEPT OF PATTERNS IN DESIGN DECISION MAKING,10/02/2015,RCUK, , ,EPSRC, , ,EP/J016896/1,,,22/05/2015,,,,,1823.76,,,,15% discount,,,CC BY,Yes,No,
Cardiff University,18/03/2015,,,,,10.1080/19401493.2015.1030450,,Taylor & Francis,Journal of Building Performance Simulation,,Journal Article/Review (Hybrid journal),THERMAL SIMULATION SOFTWARE OUTPUTS: A CONCEPTUAL DATA MODEL OF INFORMATION PRESENTATION FOR BUILDING DESIGN DECISION MAKING   ,15/04/2015,RCUK, , ,EPSRC,,,EP/J016896/1,,,29/04/2015,,,,,1823.76,,,,15% discount,,,CC BY,Yes,Yes,
